Movie_Title,Box_Office_Start,Box_Office_End,Worldwide_Box_Office,Metascore,User_Score
Batman,1989-06,1989-12,"411,348,924.00",69,8.3
Batman Returns,1992-06,1992-10,"266,824,291.00",68,7.6
Batman Forever,1995-06,1995-10,"336,529,144.00",51,6.4
Batman & Robin,1997-6,1997-09,"238,317,814.00",28,5.7
Catwoman,2004-07,2004-10,"82,145,379.00",27,2.7
Batman Begins,2005-06,2005-10,"359,142,722.00",70,8.6
The Dark Knight,2008-07,2009-02,"1,001,996,207.00",84,9
The Dark Knight Rises,2012-07,2012-12,"1,084,439,099.00",78,8.2
Joker,2019-10,2020-01,"1,071,769,171.00",59,9.1
